regime,policy,episode,total_return,service_level,avg_on_hand,holding_cost,penalty_cost
stationary,random,79,1744.0000,0.9922,25.3077,1316.0000,20.0000
stationary,random,80,1832.0000,0.9962,25.5769,1330.0000,10.0000
stationary,random,81,2053.0000,0.9684,18.6154,968.0000,85.0000
stationary,random,82,1742.0000,0.9961,25.7692,1340.0000,10.0000
stationary,random,83,2229.0000,0.9964,20.1731,1049.0000,10.0000
stationary,random,84,1731.0000,0.9922,24.7885,1289.0000,20.0000
stationary,random,85,1494.0000,0.9790,24.1923,1258.0000,50.0000
stationary,random,86,1494.0000,1.0000,27.5000,1430.0000,0.0000
stationary,random,87,1903.0000,0.9041,17.7115,921.0000,270.0000
stationary,random,88,2218.0000,0.9571,16.1154,838.0000,120.0000
stationary,random,89,1666.0000,0.9660,22.0577,1147.0000,85.0000
stationary,random,90,2044.0000,0.9925,20.7308,1078.0000,20.0000
stationary,random,91,1833.0000,0.9961,23.5577,1225.0000,10.0000
stationary,random,92,1767.0000,1.0000,23.4038,1217.0000,0.0000
stationary,random,93,1845.0000,0.9151,16.9423,881.0000,230.0000
stationary,random,94,1858.0000,0.9734,21.5000,1118.0000,70.0000
stationary,random,95,1655.0000,0.9902,26.5000,1378.0000,25.0000
stationary,random,96,1914.0000,0.9701,21.6538,1126.0000,80.0000
stationary,random,97,1759.0000,0.9494,20.7500,1079.0000,130.0000
stationary,random,98,1799.0000,0.9944,25.9615,1350.0000,15.0000
stationary,random,99,1714.0000,0.9674,20.3846,1060.0000,80.0000
stationary,base_stock,0,2583.0000,0.9710,6.4231,334.0000,75.0000
stationary,base_stock,1,2479.0000,0.9959,7.2500,377.0000,10.0000
stationary,base_stock,2,2404.0000,0.9756,7.5000,390.0000,60.0000
stationary,base_stock,3,2899.0000,0.9781,5.0577,263.0000,60.0000
stationary,base_stock,4,2485.0000,0.9703,6.9231,360.0000,75.0000
stationary,base_stock,5,2555.0000,0.9860,6.9615,362.0000,35.0000
stationary,base_stock,6,2752.0000,0.9811,5.7308,298.0000,50.0000
stationary,base_stock,7,2685.0000,0.9716,6.1154,318.0000,75.0000
stationary,base_stock,8,2709.0000,0.9865,6.3077,328.0000,35.0000
stationary,base_stock,9,2567.0000,1.0000,7.2885,379.0000,0.0000
stationary,base_stock,10,2777.0000,0.9619,5.3462,278.0000,105.0000
stationary,base_stock,11,2729.0000,1.0000,6.3654,331.0000,0.0000
stationary,base_stock,12,2773.0000,0.9775,5.6346,293.0000,60.0000
stationary,base_stock,13,2835.0000,0.9624,5.1538,268.0000,105.0000
stationary,base_stock,14,2798.0000,0.9868,5.7500,299.0000,35.0000
stationary,base_stock,15,2695.0000,0.9662,5.8654,305.0000,90.0000
stationary,base_stock,16,2779.0000,0.9812,5.5577,289.0000,50.0000
stationary,base_stock,17,2504.0000,0.9555,6.6346,345.0000,115.0000
stationary,base_stock,18,2585.0000,0.9841,6.7500,351.0000,40.0000
stationary,base_stock,19,2697.0000,0.9922,6.5192,339.0000,20.0000
stationary,base_stock,20,2626.0000,0.9530,5.9808,311.0000,125.0000
stationary,base_stock,21,2767.0000,0.9923,5.9423,309.0000,20.0000
stationary,base_stock,22,2830.0000,0.9742,5.2692,274.0000,70.0000
stationary,base_stock,23,2707.0000,0.9790,6.0769,316.0000,55.0000
stationary,base_stock,24,2655.0000,0.9750,6.1923,322.0000,65.0000
stationary,base_stock,25,2666.0000,0.9844,6.5000,338.0000,40.0000
stationary,base_stock,26,2551.0000,0.9763,6.9038,359.0000,60.0000
stationary,base_stock,27,2679.0000,0.9539,5.7308,298.0000,125.0000
stationary,base_stock,28,2819.0000,0.9962,6.0962,317.0000,10.0000
stationary,base_stock,29,2424.0000,0.9697,7.3269,381.0000,75.0000
stationary,base_stock,30,2637.0000,0.9804,6.2885,327.0000,50.0000
stationary,base_stock,31,2669.0000,0.9695,6.1346,319.0000,80.0000
stationary,base_stock,32,2770.0000,0.9885,5.6923,296.0000,30.0000
stationary,base_stock,33,2851.0000,0.9869,5.5385,288.0000,35.0000
stationary,base_stock,34,2728.0000,0.9646,5.7500,299.0000,95.0000
stationary,base_stock,35,2714.0000,0.9808,5.8077,302.0000,50.0000
stationary,base_stock,36,2787.0000,0.9705,5.9423,309.0000,80.0000
stationary,base_stock,37,2757.0000,0.9811,5.7885,301.0000,50.0000
stationary,base_stock,38,2844.0000,0.9675,5.4231,282.0000,90.0000
stationary,base_stock,39,2815.0000,0.9868,6.0385,314.0000,35.0000
stationary,base_stock,40,2652.0000,0.9751,6.0962,317.0000,65.0000
stationary,base_stock,41,2737.0000,0.9846,5.9423,309.0000,40.0000
stationary,base_stock,42,2504.0000,0.9609,6.9615,362.0000,100.0000
stationary,base_stock,43,2652.0000,0.9678,6.3269,329.0000,85.0000
stationary,base_stock,44,2646.0000,0.9519,5.9231,308.0000,130.0000
stationary,base_stock,45,2751.0000,0.9810,5.7885,301.0000,50.0000
stationary,base_stock,46,2741.0000,0.9773,6.0577,315.0000,60.0000
stationary,base_stock,47,2775.0000,0.9720,5.5769,290.0000,75.0000
stationary,base_stock,48,2693.0000,0.9789,6.0000,312.0000,55.0000
stationary,base_stock,49,2694.0000,0.9845,6.0385,314.0000,40.0000
stationary,base_stock,50,2634.0000,0.9692,6.3462,330.0000,80.0000
stationary,base_stock,51,2716.0000,0.9827,5.7500,299.0000,45.0000
stationary,base_stock,52,2740.0000,0.9903,6.2885,327.0000,25.0000
stationary,base_stock,53,2713.0000,0.9884,6.3269,329.0000,30.0000
stationary,base_stock,54,2688.0000,0.9884,6.3077,328.0000,30.0000
stationary,base_stock,55,2642.0000,0.9863,6.4038,333.0000,35.0000
stationary,base_stock,56,2844.0000,0.9851,5.1923,270.0000,40.0000
stationary,base_stock,57,2509.0000,0.9799,7.0962,369.0000,50.0000
stationary,base_stock,58,2857.0000,0.9763,5.5385,288.0000,65.0000
stationary,base_stock,59,2636.0000,0.9712,6.2500,325.0000,75.0000
stationary,base_stock,60,2704.0000,0.9645,6.0962,317.0000,95.0000
stationary,base_stock,61,2676.0000,0.9609,6.0577,315.0000,105.0000
stationary,base_stock,62,2535.0000,0.9939,7.4231,386.0000,15.0000
stationary,base_stock,63,2395.0000,0.9658,7.3077,380.0000,85.0000
stationary,base_stock,64,2619.0000,0.9803,6.5192,339.0000,50.0000
stationary,base_stock,65,2788.0000,0.9757,5.4808,285.0000,65.0000
